theta,correlation rate
2.49316,-0.191289
2.49944,-0.19099
2.50572,-0.191917
2.512,-0.196851
2.51828,-0.199179
2.52456,-0.208715
2.53084,-0.211369
2.53712,-0.213433
2.5434,-0.215362
2.54968,-0.213185
2.55596,-0.213701
2.56224,-0.2099
2.56852,-0.208717
2.5748,-0.21502
2.58108,-0.220374
2.58736,-0.220495
2.59364,-0.216937
2.59992,-0.219838
2.6062,-0.22976
2.61248,-0.234656
2.61876,-0.238018
2.62504,-0.241236
2.63132,-0.251234
2.6376,-0.255637
2.64388,-0.260193
2.65016,-0.260755
2.65644,-0.260176
2.66272,-0.256571
2.669,-0.252295
2.67528,-0.250049
2.68156,-0.248653
2.68784,-0.247751
2.69412,-0.255098
2.7004,-0.259127
2.70668,-0.268681
2.71296,-0.269635
2.71924,-0.268021
2.72552,-0.27063
2.7318,-0.267774
2.73808,-0.267168
2.74436,-0.265023
2.75064,-0.263137
2.75692,-0.261621
2.7632,-0.259902
2.76948,-0.264194
2.77576,-0.266312
2.78204,-0.265005
2.78832,-0.268853
2.7946,-0.271179
2.80088,-0.27671
2.80716,-0.279992
2.81344,-0.279422
2.81972,-0.278375
2.826,-0.275574
2.83228,-0.276259
2.83856,-0.275877
2.84484,-0.274499
2.85112,-0.273075
2.8574,-0.284183
2.86368,-0.28775
2.86996,-0.291211
2.87624,-0.293442
2.88252,-0.288617
2.8888,-0.293145
2.89508,-0.292675
2.90136,-0.291932
2.90764,-0.292918
2.91392,-0.288673
2.9202,-0.287318
2.92648,-0.286852
2.93276,-0.286702
2.93904,-0.288456
2.94532,-0.287769
2.9516,-0.283427
2.95788,-0.283038
2.96416,-0.284524
2.97044,-0.283782
2.97672,-0.285102
2.983,-0.28282
2.98928,-0.282059
2.99556,-0.278653
3.00184,-0.274389
3.00812,-0.276023
3.0144,-0.27598
3.02068,-0.269453
3.02696,-0.269838
3.03324,-0.269619
3.03952,-0.268437
3.0458,-0.266676
3.05208,-0.264337
3.05836,-0.259743
3.06464,-0.259999
3.07092,-0.256908
3.0772,-0.258338
3.08348,-0.259306
3.08976,-0.253608
3.09604,-0.253675
3.10232,-0.256731
3.1086,-0.254857
3.11488,-0.250627
3.12116,-0.244507
3.12744,-0.248732
3.13372,-0.247141
